Id,Nom,Adresse,Ville,Secteur,Site,Tel,Email,ScoreActuel,Categorie,Objectif,Opportunite,Score,Signaux,Reco,EmailObjet,EmailCorps
7829,GUILLAUME,"
28 Rue Bossuet, 69006 Lyon, France",Lyon,immobilier,https://www.orpi.com/duguesclin.transactions/nous-contacter/,+33478522777,orpifrance@orpi.com,0,immobilier,web,35,,orpi.com = réseau Orpi — grand compte,a_verifier,,
7830,ROY,"
26 Rue Monge, 75005 Paris, France",Paris,immobilier,http://www.delachaiseimmobilier.fr/,+33176219036,contact@delachaiseimmo.fr,0,immobilier,web,2,20,pas_https(+15); no_webp(+5),a_verifier,,
7831,KLEIN,"
22 Av. Pasteur, 13007 Marseille, France",Marseille,immobilier,http://www.homeshop.fr/,+33496179096,,0,immobilier,web,35,,homeshop.fr = réseau Homeshop — grand compte,a_verifier,,
7832,SALAH,"
22 Av. Jean Jaurès, 69007 Lyon, France",Lyon,immobilier,https://www.human-immobilier.fr/lyon-7-saxe?utm_campaign=google_my_business_achat&utm_medium=seo&utm_source=google,+33472710945,dpo@human-immobilier.fr,0,immobilier,web,35,,human-immobilier.fr = réseau Human Immobilier — grand compte,a_verifier,,
7833,ERA Immo du Parc,"
19 Rue Maréchal Fayolle, 13004 Marseille, France",Marseille,immobilier,https://www.erafrance.com/agence-immobiliere-marseille-04-4-2337,+33484888404,,0,immobilier,web,35,,erafrance.com = réseau ERA — grand compte,a_verifier,,
7834,Benoît Foucher - Conseiller immobilier Paris - Expertimo,"
8 Bd de Bonne Nouvelle, 75010 Paris, France",Paris,immobilier,https://www.reseau-expertimo.fr/1857-mandataire/1,+33613555732,,0,immobilier,web,35,,reseau-expertimo.fr = réseau Expertimo — grand compte,a_verifier,,
7835,BRENIERE,"
5 Quai Romain Rolland, 69005 Lyon, France",Lyon,immobilier,https://www.novea-immobilier.fr/,+33426071096,,0,immobilier,web,1,0,Site moderne,,,
7836,DÉPLOIE,"
4 Bd Bigonnet, 13012 Marseille, France",Marseille,immobilier,https://www.terrasse-en-ville.com/marseille1,+33488601605,,0,immobilier,web,35,,terrasse-en-ville.com = réseau promotion neuf — grand compte,a_verifier,,
7837,STANISLAS,"
4 Pl. Amédée Bonnet, 69002 Lyon, France",Lyon,immobilier,https://www.hosman.co/l/agence-immobiliere-lyon,+33465842695,contact@hosman.co,0,immobilier,web,35,,hosman.co = réseau Hosman — grand compte,a_verifier,,
7838,Médicis Immobilier Neuf Lyon,"
32 Av. Maréchal Foch, 69006 Lyon, France",Lyon,immobilier,https://www.medicis-patrimoine.com/notre-groupe/nos-agences-immobilieres-dans-le-neuf/agence-immobiliere-lyon-69003.html?utm_source=GoogleMyBusiness&utm_medium=url-agence-reservation-online-lyon&utm_campaign=GMB-Lyon,+33478145454,,0,immobilier,web,35,,medicis-patrimoine.com = groupe Médicis — grand compte,a_verifier,,
7839,JÉHANNO,"
9 Bd Arago, 75013 Paris, France",Paris,immobilier,https://www.laforet.com/agence-immobiliere/paris13-arago?modal=formulaire-rendez-vous,+33140097251,contact-laforet@laforet.com,0,immobilier,web,35,,laforet.com = réseau Laforêt — grand compte,a_verifier,,
7840,RAFFOUX,"
49 Av. Maréchal de Saxe, 69003 Lyon, France",Lyon,immobilier,http://www.essentiel-gestionlocative.fr/,+33437573278,,0,immobilier,web,1,15,pas_https(+15),,,
7841,Agence immobilière FREDeLION – Paris 8 Europe,"
26 Rue de Turin, 75008 Paris, France",Paris,immobilier,https://www.fredelion.com/agences/paris-8-europe/,+33144909017,a.daiu@fredelion.com,0,immobilier,web,35,,fredelion.com = réseau Fredelion — grand compte,a_verifier,,
7842,DÉPLOIE,"
75 Rue de Trion, 69005 Lyon, France",Lyon,immobilier,https://www.rhonepatrimoineimmobilier.com/catalog/contact_us.php?form=2,+33472386367,,0,immobilier,web,1,0,Site moderne,,,
7843,HOQUET,"
178 Rue Saint-Maur, 75010 Paris, France",Paris,immobilier,https://paris-10-saint-louis.guy-hoquet.com/,+33140823600,,0,immobilier,web,35,,guy-hoquet.com = réseau Guy Hoquet — grand compte,a_verifier,,
7844,HOQUET,"
39 Rue des Farges, 69005 Lyon, France",Lyon,immobilier,https://lyon-5.guy-hoquet.com/,+33953914386,accueilweb@guy-hoquet.com,0,immobilier,web,35,,guy-hoquet.com = réseau Guy Hoquet — grand compte,a_verifier,,
7845,HOQUET,"
189 Rue du Faubourg Saint-Martin, 75010 Paris, France",Paris,immobilier,https://paris-10-saint-martin.guy-hoquet.com/estimer/estimation-immobiliere-en-visio-maison-appartement,+33140051818,,0,immobilier,web,35,,guy-hoquet.com = réseau Guy Hoquet — grand compte,a_verifier,,
7846,Patrick Almeida - Consultant Efficity Lyon,"
6 Pl. des Tapis, 69004 Lyon, France",Lyon,immobilier,https://www.efficity.com/palmeida/,+33682052824,,0,immobilier,web,35,,efficity.com = réseau Efficity — grand compte,a_verifier,,
7847,DÉPLOIE,"
37 Rue des Blancs Manteaux, 75004 Paris, France",Paris,immobilier,http://www.arc-en-ciel-immo.com/,+33171182860,,0,immobilier,web,1,15,pas_https(+15),,,
7848,THOMAS,"
17 Rue des Moines, 75017 Paris, France",Paris,immobilier,https://immobilier-paris-17.nestenn.com/,+33147709617,,0,immobilier,web,35,,nestenn.com = réseau Nestenn — grand compte,a_verifier,,
7849,HOQUET,"
58 Cours Dr Long, 69003 Lyon, France",Lyon,immobilier,https://lyon-3-montchat.guy-hoquet.com/,+33437567807,,0,immobilier,web,35,,guy-hoquet.com = réseau Guy Hoquet — grand compte,a_verifier,,
