Id,Nom,Adresse,Ville,Secteur,Site,Tel,Email,ScoreActuel,Categorie,Objectif,Opportunite,Score,Signaux,Reco,EmailObjet,EmailCorps
7966,Centre des Ostéopathes de Garibaldi,"
302 Rue Garibaldi Rez de chaussée derrière la pharmacie, 69007 Lyon, France",Lyon,sante,https://www.doctolib.fr/cabinet-osteopathie/lyon/centre-des-osteopathes-de-garibaldi-lyon-osteo?pid=practice-164024&utm_source=google_appointment_redirect&utm_campaign=gmb&utm_medium=organic&rwg_token=AFd1xnGS1N_1RlsnuDloY2WHEhZnYiXtu1F8beBp4H0tlv6BkLwcidtNo9k184lxi6WEYPR9QmRifO-uIC_OyisIeUuZA7Cs1A%3D%3D,+33788290667,,,sante,web,2,,doctolib.fr = plateforme — pas de site propre,a_verifier,,
7967,Sébastien Brotel Osteopathe D.O Lyon 3,"
255 Rue Garibaldi, 69003 Lyon, France",Lyon,sante,https://www.doctolib.fr/osteopathe/lyon/sebastien-brotel?pid=practice-11161&utm_source=google_appointment_redirect&utm_campaign=gmb&utm_medium=organic&rwg_token=AFd1xnEfm9k_V6CHmNKoZ4LdTgnYph_bLlvvYFv3-hrcIJ76GbF8RN5O_5q33Y-Y_rB6KmQVhYqCAlU7IRiYYw1OTAJMfn-Z5Q%3D%3D,+33426186250,,,sante,web,2,,doctolib.fr = plateforme — pas de site propre,a_verifier,,
7968,Centre des Ostéopathes de Lyon Ostéo,"
26 Rue Tronchet, 69006 Lyon, France",Lyon,sante,https://www.doctolib.fr/cabinet-osteopathie/lyon/centre-des-osteopathes-foch-lyon-6-lyonosteo?pid=practice-209004&utm_source=google_appointment_redirect&utm_campaign=gmb&utm_medium=organic&rwg_token=AFd1xnEKgoRTyAQ0fdkvlZnkh3Gzosod_86PVdQsPbvaae_xmEIeT0vnbZRxxM3i4UJwRKhxafhb8gnw4EdTfZy9ZbBTubQnYg%3D%3D,+33769981134,,,sante,web,2,,doctolib.fr = plateforme — pas de site propre,a_verifier,,
7969,Cabinet d’ostéopathie Pôle Équilibre et santé Lyon,"
18 Cr Eugénie, 69003 Lyon, France",Lyon,sante,http://www.osteopathe-lyon3.com/,+33472363491,info@osteopathe-lyon3.com,,sante,web,2,25,pas_https(+15); no_favicon(+5); no_webp(+5),a_verifier,,
7970,Cabinet Lyon 2 BELLECOUR - Yllan Lecoq-Zastera OSTEOPATHE D.O,"
14 Rue de la Barre, 69002 Lyon, France",Lyon,sante,https://www.doctolib.fr/osteopathe/lyon/yllan-lecoq-zastera?pid=practice-616732&utm_source=google_appointment_redirect&utm_campaign=gmb&utm_medium=organic&rwg_token=AFd1xnFSiB-6Q4qNBu9PJb-7-sjZBQ9YKUpVcFGYX9uQSZ9h8JPpy4sdJ3lFTYlubGQeZBk5_ixYBIWedGxJGfY5bGnqJpQlkg%3D%3D,+33775723782,,,sante,web,2,,doctolib.fr = plateforme — pas de site propre,a_verifier,,
7971,Ostéopathe Lyon 1 - Loïc Rochand,,Lyon,sante,,,,,sante,web,2,,"Pas de site, pas de téléphone — à vérifier",a_verifier,,
7972,Marie-Laure Velin Ostéopathe Lyon 3 & Nicolette Pessina,"
2 Rue de l'Humilité, 69003 Lyon, France",Lyon,sante,https://www.doctolib.fr/osteopathe/lyon-/marie-laure-velin?pid=practice-140998&utm_source=google_appointment_redirect&utm_campaign=gmb&utm_medium=organic&rwg_token=AFd1xnGeQJQybX2bw_10Q50-AnBR6GVfJH3zJni_P8j2yaMq09fOsKK9yG8kb6URAXpK0G9zNpEDtvi6TyZYOZaPMcNJ0XocOw%3D%3D,+33611412732,,,sante,web,2,,doctolib.fr = plateforme — pas de site propre,a_verifier,,
7973,Ostéopathe entre Lyon 1er et 4ème - Francis Nyock,"
90 Mnt de la Grande-Côte, 69001 Lyon, France",Lyon,sante,https://www.doctolib.fr/osteopathe/lyon/francis-nyock?pid=practice-110372&utm_source=google_appointment_redirect&utm_campaign=gmb&utm_medium=organic&rwg_token=AFd1xnGTiWv24xplvZa9WCYfSkHutlnzOnjXxWv08jobbHPmuY5e0Ylw32kBZXiMUvHWq6T5G9DVyIWkZAr2C55E1M-7Fdt8JQ%3D%3D,+33981017269,,,sante,web,2,,doctolib.fr = plateforme — pas de site propre,a_verifier,,
7974,Ostéopathe Lyon 1 | Salma Saadallah,"
Coream - Espace santé & bien-être, 22 Rue Pizay, 69001 Lyon, France",Lyon,sante,https://www.doctolib.fr/osteopathe/lyon/salma-saadallah?pid=practice-204027&utm_source=google_appointment_redirect&utm_campaign=gmb&utm_medium=organic&rwg_token=AFd1xnGi8epLn0fVFordYtTmUnSMiffF7KOPChAmRYFv-evLoXeniNtVdzpeCMZ5HHxPrN7u8W74dfSLhOGVRQW6OOoe02KhaQ%3D%3D,+33768067239,,,sante,web,2,,doctolib.fr = plateforme — pas de site propre,a_verifier,,
7975,Centre dentaire Paris 13 Château des Rentiers,"
38 Rue du Château des Rentiers, 75013 Paris, France",Paris,sante,https://centre-dentaire-paris-13-chateau-des-rentiers.fr/,+33188614925,,,sante,web,1,5,no_og(+5),,,
7976,Guillaume Thevenon - Ostéopathe Lyon 8 Monplaisir,"
9 Rue Saint-Hippolyte, 69008 Lyon, France",Lyon,sante,https://www.doctolib.fr/osteopathe/lyon/guillaume-thevenon?pid=practice-622244&utm_source=google_appointment_redirect&utm_campaign=gmb&utm_medium=organic&rwg_token=AFd1xnEL0-3uIhZiBOqMaYupzFMrrAeGu2SW3z2ksznkRN_TUV8eImbCKv-2clFtiW6KSuHCa3zsZQ5gVRKg6ssLmh3FppEabQ%3D%3D,+33625505023,,,sante,web,2,,doctolib.fr = plateforme — pas de site propre,a_verifier,,
7977,Centre Dentaire Paris Voltaire - GranDental,"
206 Bd Voltaire, 75011 Paris, France",Paris,sante,https://www.doctolib.fr/centre-dentaire/paris/centre-dentaire-paris-voltaire-grandental,+33188832222,,,sante,web,2,,doctolib.fr = plateforme — pas de site propre,a_verifier,,
7978,Cabinet dentaire de l’Avenue,"
139 Av. de France, 75013 Paris, France",Paris,sante,https://www.doctolib.fr/dentiste/paris/louise-gotas?pid=practice-73539&utm_source=google_appointment_redirect&utm_campaign=gmb&utm_medium=organic&rwg_token=AFd1xnHzsiyLn7ewfBulbvLz3nSWHBcLpjUwU8cJ5st3hHc88MQBPyqRDRkk28201-mi4b8FSunI3WQRHjzXGlj2eQaSrdBOzw%3D%3D,+33188334941,,,sante,web,2,,doctolib.fr = plateforme — pas de site propre,a_verifier,,
7979,DENTYLIS,"
108 Rue La Fayette, 75010 Paris, France",Paris,sante,https://dentylis.fr/paris/dentistes-paris-10-lafayette/,+33183759045,,,sante,web,35,,dentylis.fr = réseau de centres dentaires — grand compte,a_verifier,,
7980,Dentiste Paris 8 - Dr Laura Zeitoun Saal - Fluorose Dentaire - Implant Dentaire - Facettes dentaires,"
45 Av. George V, 75008 Paris, France",Paris,sante,https://www.doctolib.fr/dentiste/paris/laura-zeitoun-saal,+33140709626,,,sante,web,2,,doctolib.fr = plateforme — pas de site propre,a_verifier,,
7981,Centre Dentaire Paris 12 Gare de Lyon : Dentiste et Cabinet d'orthodontie Paris - Dentego,"
5 Rue de Lyon, 75012 Paris, France",Paris,sante,https://dentego.fr/nos-centres/ile-de-france/centre-dentaire-paris/centre-dentaire-paris-12/,+33189200929,,,sante,web,35,,dentego.fr = réseau de centres dentaires — grand compte,a_verifier,,
7982,Centre dentaire Bastille Paris 4,"
3 Rue Saint-Antoine, 75004 Paris, France",Paris,sante,https://www.doctolib.fr/centre-dentaire/paris/centre-dentaire-bastille?pid=practice-282271&utm_source=google_appointment_redirect&utm_campaign=gmb&utm_medium=organic&rwg_token=AFd1xnHIBezcZYIweVCAB3629qgY_lKU8uVjhImFLuH4WDH-aD-imjUHNf-h2g6xGdUZCUXkCmgiLFOg5h0GsTRzWaYZLB-LhQ%3D%3D,+33184793330,,,sante,web,2,,doctolib.fr = plateforme — pas de site propre,a_verifier,,
7983,Dr David Azria - Dentiste Paris 19 - Facettes dentaires - Implant et prothèse dentaire,"
65 Rue d'Hautpoul, 75019 Paris, France",Paris,sante,https://dentisteparis19.fr/,+33140378751,,,sante,web,1,0,Site moderne,,,
7984,Place dentaire Barbès - Centre dentaire paris 18,"
23 Bd Barbès, 75018 Paris, France",Paris,sante,http://centre-dentaire-barbes-75018.fr/,+33142554255,,,sante,web,2,30,pas_https(+15); no_favicon(+5); no_og(+5); no_webp(+5),a_verifier,,
7985,Centre Dentaire Paris 10 Gare du Nord : Dentiste et Cabinet d'orthodontie Paris - Dentego,,Paris,sante,,,,,sante,web,35,,Dentego = réseau de centres dentaires — grand compte,a_verifier,,
7986,Dentimad - Centre dentaire Chatelet Rivoli Paris 1er,,Paris,sante,,,,,sante,web,35,,Dentimad = réseau de centres dentaires — grand compte,a_verifier,,
7987,Dentimad centre dentaire Paris 8,,Paris,sante,,,,,sante,web,35,,Dentimad = réseau de centres dentaires — grand compte,a_verifier,,
7988,Centre Dentaire Paris 15 Lecourbe : Dentiste Paris - Dentego,"
42 Rue Lecourbe, 75015 Paris, France",Paris,sante,https://dentego.fr/nos-centres/ile-de-france/paris-15/,+33183353060,,,sante,web,35,,dentego.fr = réseau de centres dentaires — grand compte,a_verifier,,
7989,Centre de santé dentaire et médical Paris 11 Richard Lenoir - Dentiste Paris,"
48 Rue Saint-Sébastien, 75011 Paris, France",Paris,sante,https://www.doctolib.fr/centre-dentaire/paris/centre-dentaire-paris-11-richard-lenoir,+33143385555,,,sante,web,2,,doctolib.fr = plateforme — pas de site propre,a_verifier,,
7990,Centre Dentaire Paris Opéra Pyramides,"
13 Av. de l'Opéra, 75001 Paris, France",Paris,sante,https://www.centre-dentaire-opera-paris.fr/,+33153300101,,,sante,web,1,5,no_favicon(+5),,,
