Id,Nom,Adresse,Ville,Secteur,Site,Tel,Email,ScoreActuel,Categorie,Objectif,Opportunite,Score,Signaux,Reco,EmailObjet,EmailCorps
7096,sparadiselille.com,,Lille,cliniques_esthetiques,https://sparadiselille.com,,,0,cliniques_esthetiques,general,35,20,"URL = guide/agenda editeur bien-etre a Lille (annuaire de spas/activites), pas un commerce ni une clinique, pas de praticien propre. Vraie cible a identifier.",a_verifier,,
7097,dermatologue-bordeaux.fr,,Bordeaux,cliniques_esthetiques,https://dermatologue-bordeaux.fr,,,0,cliniques_esthetiques,general,40,5,"Dr Vincent Cante dermatologue esthetique Bordeaux : site moderne et riche, contenu fonctionnel, RDV en ligne. Aucun besoin detecte.",,,
7098,centre-esthetique-bordeaux.fr,,Bordeaux,cliniques_esthetiques,https://centre-esthetique-bordeaux.fr,,,0,cliniques_esthetiques,general,55,25,"Centre Esthetique Bordeaux (AE Sthetics, Clinique Bel Air) : contact direct (email esthetique33bdx@gmail.com, tel) mais site simple, dernieres actualites 2024 seulement, design datte. Bonne opportunite de modernisation.",a_contacter,,
7099,chirurgieesthetiquelavocat.com,,Bordeaux,cliniques_esthetiques,https://chirurgieesthetiquelavocat.com,,,0,cliniques_esthetiques,general,40,5,"Dr Romain Lavocat chirurgie esthetique Bordeaux : site moderne, contenu riche, RDV en ligne. Aucun besoin detecte.",,,
7100,dr-fiona-goldammer.fr,,Bordeaux,cliniques_esthetiques,https://dr-fiona-goldammer.fr,,,0,cliniques_esthetiques,general,40,5,"Dr Fiona Goldammer (Clinique Esthetique Aquitaine) Bordeaux : site moderne, RDV en ligne, tel 05 56 68 69 70. Aucun besoin detecte.",,,
7101,dermato-cdbm.fr,,Bordeaux,cliniques_esthetiques,https://dermato-cdbm.fr,,,0,cliniques_esthetiques,general,55,25,"CDBM Centre Dermatologique Bordeaux Metropole : contact direct mais site Wix simple, Copyright 2022, pages basiques. Bonne opportunite de refonte.",a_contacter,,
7102,medecineesthetiquebordeaux.net,,Bordeaux,cliniques_esthetiques,https://medecineesthetiquebordeaux.net,,,0,cliniques_esthetiques,general,85,100,"Site en 404 HTTP+HTTPS (site_casse confirme) mais websearch = Dr Orliac, medecine esthetique, 25 rue Mably 33000 Bordeaux, tel 09 51 06 49 63, pages indexees sur Google : activite reelle, ne pas exclure, verifier acces/restauration.",a_verifier,,
7103,fr.mappy.com,,Bordeaux,cliniques_esthetiques,https://fr.mappy.com,,,0,cliniques_esthetiques,general,35,5,"URL = fr.mappy.com, service cartes/itineraires (RATP), pas une clinique ; email/tel = editeur service. Donnee scrapee hors cible.",a_verifier,,
7104,dermapole.fr,,Marseille,cliniques_esthetiques,https://dermapole.fr,,,0,cliniques_esthetiques,general,45,10,"Retest HTTP OK : vrai centre DERMAPOLE Marseille (13016), Doctolib, site exploitable ; blocage HTTPS/auditeur = faux positif (anti-bot/CDN), pas un site casse.",,,
7105,dermatologie-esthetique-marseille.com,,Marseille,cliniques_esthetiques,https://dermatologie-esthetique-marseille.com,,,0,cliniques_esthetiques,general,40,10,"Centre Laser Dermatologique Esthetique CLDE Marseille (3 bd Lord Duveen 13008) : WordPress, actualites a jour (2026), Dr Elawar, tel 04 96 20 34 40. Aucun besoin urgent detecte.",,,
7106,drbettex.fr,,Marseille,cliniques_esthetiques,https://drbettex.fr,,,0,cliniques_esthetiques,general,45,5,"Dr Quentin Bettex chirurgie esthetique Marseille (429 rue Paradis 8e + Clinique Phenicia) : site moderne 2024, blog actif sept 2026, Doctolib, images webp, tel 04 91 46 36 14.",,,
7107,skinmarceau.com,,Marseille,cliniques_esthetiques,https://skinmarceau.com,,,0,cliniques_esthetiques,general,40,5,"Site tres moderne (Centre Skin Marceau) mais adresse reelle = 75 bis Avenue Marceau 75116 PARIS, pas Marseille (ville du lead) : verifier la verite terrain avant campagne geolocalisee.",,,
7108,dr-thierry-fontaine.fr,,Marseille,cliniques_esthetiques,https://dr-thierry-fontaine.fr,,,0,cliniques_esthetiques,general,85,100,"Site injoignable par scraper (erreur transport HTTP+HTTPS) mais websearch = cabinet reel Dr Thierry Fontaine, dermatologue esthetique a Marcq-en-Baroeul (Nord, Lille), site indexe : activite reelle, ville du lead (Marseille) erronee, ne pas exclure.",a_verifier,,
7109,my-laser.fr,,Marseille,cliniques_esthetiques,https://my-laser.fr,,,0,cliniques_esthetiques,general,35,15,"Chaine nationale My Laser (epilation laser, 8 centres dont Lyon/Marseille) : site moderne, images webp, contenu 2026 ; les signaux auditeur (copyright_2020, stack_obsolete) sont des faux positifs. Marque nationale, pas un commerce local independant.",,,
7110,centre-dermatologie-laser-esthetique.eu,,Marseille,cliniques_esthetiques,https://centre-dermatologie-laser-esthetique.eu,,,0,cliniques_esthetiques,general,50,25,"Dr Anne Le Pillouer-Prost + 4 dermatologues (Centre Dermatologie Laser Esthetique, Marseille 8e Grand Prado) : site PHP/HTML tres datte, dernieres actualites janv 2024, Doctolib ; contacts exploitables : 04 91 60 19 45, email gmail. Bonne opportunite de refonte.",a_contacter,,
7111,lasers-dermatologiques.com,,Lyon,cliniques_esthetiques,https://lasers-dermatologiques.com,,,0,cliniques_esthetiques,general,30,10,"Centre Lasers Dermatologiques Lyon (16 rue Childebert 69002) : WordPress actif (contenu 2026), images webp, Instagram actif ; structure en place et moderne, besoin faible. Tel 04 72 56 99 77.",,,
7112,chirurgien-dermatologue-lyon.com,,Lyon,cliniques_esthetiques,https://chirurgien-dermatologue-lyon.com,,,0,cliniques_esthetiques,general,35,15,"Dr Quentin Magis chirurgie dermatologique Lyon : WordPress 2022, Doctolib, Instagram/FB/YouTube, tel 04 23 16 00 11 ; site correct, pages limitees, fraicheur moyenne.",,,
7113,drcormary.fr,,Lyon,cliniques_esthetiques,https://drcormary.fr,,,0,cliniques_esthetiques,general,70,50,"Dr Martine Cormary dermatologue esthetique Lyon 6e (53 bd des Belges) : secretariat 04 78 89 80 76, Doctolib, ~230 avis Google 4.2/5 ; site substantiel (tarifs affiches) mais non accessible au scraper (anti-bot) + signal non_responsive, pas d'actualite visible -> potentiel de modernisation.",a_contacter,,
7114,elsan.care,,Lyon,cliniques_esthetiques,https://elsan.care,,,0,cliniques_esthetiques,general,35,5,"URL = elsan.care, groupe national d'hospitalisation privee ELSAN (corporate, Next.js) = annuaire d'etablissements ; email/tel = groupe, pas un commerce local. Donnee scrapee hors cible.",a_verifier,,
7115,docteurgianfermi.fr,,Lyon,cliniques_esthetiques,https://docteurgianfermi.fr,,,0,cliniques_esthetiques,general,40,5,"Dr Gianfermi chirurgien plastique et esthetique : site moderne WordPress (2024), beaux contenus ; mais exercice a Paris + Levallois (tel 01 84 39 01 11), pas Lyon (ville du lead) : verifier la zone reelle.",,,
7116,feeli.io,,Lyon,cliniques_esthetiques,https://feeli.io,,,0,cliniques_esthetiques,general,35,5,"URL = feeli.io, plateforme SaaS de teleconsultation 24/7 (medecins en ligne), marque/service national pas un commerce local ; email/tel = editeur. Donnee scrapee hors cible.",a_verifier,,
7117,docteurisabellebaratte.com,,Lyon,cliniques_esthetiques,https://docteurisabellebaratte.com,,,0,cliniques_esthetiques,general,40,15,"Dr Isabelle Baratte dermatologie esthetique et correctrice laser, Champagne-au-Mont-d'Or (Lyon) : WordPress complet (soins, FAQ, test profil), Doctolib, tel 04 78 66 00 11 ; actualites juil 2025, Copyright 2022, fraicheur moyenne.",,,
7118,marinetti-esthetique.com,,Marseille,cliniques_esthetiques,https://marinetti-esthetique.com,,,0,cliniques_esthetiques,general,40,5,"Dr Christian Marinetti chirurgien plasticien Marseille (163 rue Paradis 6e + Clinique Phenicia) : WordPress tres riche, actualites et images 2026, Doctolib, 4.4/5 (89 avis), reseaux actifs ; tel 04 91 81 90 88.",,,
7119,spa-le-norvegien.mywizi.com,,Marseille,cliniques_esthetiques,https://spa-le-norvegien.mywizi.com,,spalenorvegien@gmail.com,0,cliniques_esthetiques,general,55,15,"Spa Le Norvegien (Marseille, spa de luxe sauna/hammam/jacuzzi) : boutique Wizishop (e-commerce sous-domaine mywizi.com), 82 avis 4.84/5, blog actif ; contacts propres tel 04 91 79 34 98 + email spalenorvegien@gmail.com -> opportunite refonte + domaine propre.",a_contacter,,
7120,neo-clinique.com,,Marseille,cliniques_esthetiques,https://neo-clinique.com,,,0,cliniques_esthetiques,general,40,10,"NeoClinique Marseille (13001), greffe capillaire : WordPress moderne, articles, Doctolib, Google 5.0/5 (114 avis) ; le HTTP 429 de l'auditeur = throttle (faux site_casse), retest HTTP OK.",,,
