Id,Nom,Adresse,Ville,Secteur,Site,Tel,Email,ScoreActuel,Categorie,Objectif,Opportunite,Score,Signaux,Reco,EmailObjet,EmailCorps
5802,centrelaserlyon.fr,27 rue Godefroy 69006 Lyon Responsable publication,Lyon,cliniques_esthetiques,https://centrelaserlyon.fr,0437420925,,0,cliniques_esthetiques,web,1,0,Site moderne,,,
5803,derma-pro.fr,,Paris,cliniques_esthetiques,https://derma-pro.fr,,,0,cliniques_esthetiques,web,1,0,Site moderne,,,
5804,clinique.crpce.com,,Marseille,cliniques_esthetiques,https://clinique.crpce.com,,,0,cliniques_esthetiques,web,2,,clinique.crpce.com = 404 (champ Site mort); vrai domaine www.crpce.com OK (moderne) — doublon avec 7009,a_verifier,,
5805,AGENCY,9 Rue de la Baignerie 59000 LILLE Créateur,Lille,cliniques_esthetiques,https://laser-esthetique-lille.com,0320078530,hello@wapiti-agency.com,0,cliniques_esthetiques,web,2,0,Site moderne; email=agence web (wapiti-agency.com) à nettoyer,a_verifier,,
5806,dr-elia.com,,Lille,cliniques_esthetiques,https://dr-elia.com,,,0,cliniques_esthetiques,web,1,0,Site moderne,,,
5807,dr-sanavi-esthetique.fr,,Bordeaux,cliniques_esthetiques,https://dr-sanavi-esthetique.fr,,,0,cliniques_esthetiques,web,3,45,non_responsive(+40); no_favicon(+5) — pas de contact exploitable,a_verifier,,
5808,lemedecin.fr,,Marseille,cliniques_esthetiques,https://lemedecin.fr,,,0,cliniques_esthetiques,web,1,5,no_webp(+5),,,
5809,dr-laurent.fr,,Lille,cliniques_esthetiques,https://dr-laurent.fr,,,0,cliniques_esthetiques,web,1,0,Site moderne,,,
5810,CLEMENCEAU,179 Boulevard Clemenceau 59700 Marcq-en-Bar,Lille,cliniques_esthetiques,https://cliniqueclemenceau.fr,0320805454,,0,cliniques_esthetiques,web,1,0,Site moderne,,,
5811,clinic-renaissance.fr,,Lille,cliniques_esthetiques,https://clinic-renaissance.fr,0320828232,contact@clinic-renaissance.fr,0,cliniques_esthetiques,web,1,0,Site moderne,,,
5812,LAVOCAT,9 rue du colisée 33000 Bordeaux,Bordeaux,cliniques_esthetiques,https://anthesebordeaux.fr,0557999041,contact@anthesebordeaux.fr,0,cliniques_esthetiques,web,1,0,Site moderne,,,
5813,dr-emma-lavocat.com,,Bordeaux,cliniques_esthetiques,https://dr-emma-lavocat.com,0100529808,,0,cliniques_esthetiques,web,1,0,Site moderne,,,
5814,chirurgie-du-visage-bordeaux.fr,,Bordeaux,cliniques_esthetiques,https://chirurgie-du-visage-bordeaux.fr,,,0,cliniques_esthetiques,web,1,5,no_favicon(+5),,,
5815,chirurgieesthetiquebordeaux.fr,,Bordeaux,cliniques_esthetiques,https://chirurgieesthetiquebordeaux.fr,,,0,cliniques_esthetiques,web,1,5,no_favicon(+5),,,
