Id,Nom,Adresse,Ville,Secteur,Site,Tel,Email,ScoreActuel,Categorie,Objectif,Opportunite,Score,Signaux,Reco,EmailObjet,EmailCorps
7001,clinique-spontini.fr,,Paris,cliniques_esthetiques,https://clinique-spontini.fr,0184749527,,0,cliniques_esthetiques,web,1,0,Site moderne,,,
7002,centremarceau.com,,Paris,cliniques_esthetiques,https://centremarceau.com,0144316666,info@centremarceau.com,0,cliniques_esthetiques,web,1,5,no_favicon(+5),,,
7003,eiffelclinique.fr,,Paris,cliniques_esthetiques,https://eiffelclinique.fr,,,0,cliniques_esthetiques,web,1,5,no_favicon(+5),,,
7004,drbroccaioli.com,90 boulevard Raspail - 75006 PARIS Adresse du siège social de la société,Paris,cliniques_esthetiques,https://drbroccaioli.com,0170939790,info@drbroccaioli.com,0,cliniques_esthetiques,web,1,0,Site moderne,,,
7005,aesthe.com,4 AV MATIGNON 75008 PARIS,Lille,cliniques_esthetiques,https://aesthe.com,,,0,cliniques_esthetiques,web,35,10,aesthe.com = réseau Aesthé (groupe) — grand compte réseau; email=placeholder hosting à nettoyer,a_verifier,,
7006,medecinelaserpalaisroyal.fr,,Paris,cliniques_esthetiques,https://medecinelaserpalaisroyal.fr,,,0,cliniques_esthetiques,web,1,0,Site moderne,,,
7007,drscemama.com,,Paris,cliniques_esthetiques,https://drscemama.com,,,0,cliniques_esthetiques,web,1,10,no_favicon(+5); no_og(+5),,,
7008,mon-chirurgien-esthetique.paris,,Paris,cliniques_esthetiques,https://mon-chirurgien-esthetique.paris,0145501813,,0,cliniques_esthetiques,web,1,0,WordPress — site moderne,,,
7009,crpce.com,,Paris,cliniques_esthetiques,https://crpce.com,,,0,cliniques_esthetiques,web,2,5,www.crpce.com moderne; apex cert invalide — doublon avec 6976,a_verifier,,
7010,laserliberte.fr,,Lille,cliniques_esthetiques,https://laserliberte.fr,0320501414,giausseran@hotmail.fr,0,cliniques_esthetiques,web,1,5,no_og(+5),,,
7011,ISABELLE,38 Rue d'Isly 59000 - Lille Tél,Lille,cliniques_esthetiques,https://medecin-esthetique-rodrigues.fr,0675069415,,0,cliniques_esthetiques,web,1,10,no_og(+5); no_webp(+5),,,
7012,centrelasermedical.fr,,Lille,cliniques_esthetiques,https://centrelasermedical.fr,0320884078,,0,cliniques_esthetiques,web,2,25,generator_Joomla(+20); no_og(+5) — doublon avec 7014 (même tel),a_verifier,,
7013,alexandracorrion.fr,,Lille,cliniques_esthetiques,https://alexandracorrion.fr,,dr.corrion@gmail.com,0,cliniques_esthetiques,web,1,0,WordPress — site moderne,,,
7014,centre-laser-lille.fr,150 rue Pierre Mauroy - 59800 LILLE,Lille,cliniques_esthetiques,https://centre-laser-lille.fr,0320884078,,0,cliniques_esthetiques,web,1,10,no_og(+5); no_webp(+5),,,
7015,docteur-julieellart.com,,Lille,cliniques_esthetiques,https://docteur-julieellart.com,,,0,cliniques_esthetiques,web,1,0,Site moderne,,,
7016,cesar-depoortere-chirurgie-esthetique.com,,Lille,cliniques_esthetiques,https://cesar-depoortere-chirurgie-esthetique.com,,,0,cliniques_esthetiques,web,2,25,generator_Wix(+20); no_og(+5),a_verifier,,
7017,STUDIO,,Bordeaux,cliniques_esthetiques,https://laparte-esthetique.com,,,0,cliniques_esthetiques,web,1,5,no_favicon(+5),,,
7018,clinique-esthetique-aquitaine.com,,Bordeaux,cliniques_esthetiques,https://clinique-esthetique-aquitaine.com,0556686970,contact@clinique-esthetique-aquitaine.com,0,cliniques_esthetiques,web,1,10,no_favicon(+5); no_webp(+5),,,
7019,chirurgie-esthetique-azencot-bordeaux.fr,,Bordeaux,cliniques_esthetiques,https://chirurgie-esthetique-azencot-bordeaux.fr,0556790202,,0,cliniques_esthetiques,web,1,5,no_favicon(+5); email=agence (mareputationenligne.fr) à nettoyer,,,
7020,planity.com,,Bordeaux,cliniques_esthetiques,https://planity.com,,,0,cliniques_esthetiques,web,35,,planity.com — plateforme de réservation — pas de site propre,a_verifier,,
7021,MARTIAL,,Bordeaux,cliniques_esthetiques,https://maison-agape.com,0919258210,contact@maison-agape.com,0,cliniques_esthetiques,web,3,45,non_responsive(+40); no_favicon(+5),a_contacter,,
7022,docteurreau.com,,Bordeaux,cliniques_esthetiques,https://docteurreau.com,,,0,cliniques_esthetiques,web,1,15,no_favicon(+5); no_og(+5); no_webp(+5),,,
7023,BARTHELEMY,,Marseille,cliniques_esthetiques,https://drbarthelemy.com,0486684822,contact@drbarthelemy.com,0,cliniques_esthetiques,web,1,0,WordPress — site moderne,,,
7024,phenicia-medical-spa.com,,Marseille,cliniques_esthetiques,https://phenicia-medical-spa.com,0491921292,contact@cliniquephenicia.com,0,cliniques_esthetiques,web,1,5,no_favicon(+5) — doublon entité avec 6989 (clinique-phenicia),,,
7025,BALASUBRAMANIAN,,Marseille,cliniques_esthetiques,https://threebestrated.fr,,support@threebestrated.fr,0,cliniques_esthetiques,web,2,,threebestrated.fr = annuaire/portail d'avis — pas le site du commerce,a_verifier,,
